Date,Item,Amount,Category
27 Mar,Food,1000,Feeding
27 Mar,Trans,3100,Transport
27 Mar,Bread for fam,1500,Feeding
27 Mar,Food at fam,3000,Feeding
27 Mar,April Electricity,2500,Utility
27 Mar,March Housekeeping,1500,Utility
28 Mar,CDC,16600,Remit
28 Mar,Food at Fam,600,Feeding
28 Mar,Google play,500,Miscellaneous
28 Mar,Data for Brymo,1663,Miscellaneous
29 Mar,Cash,5100,Transport
29 Mar,Gas for fam,1000,Miscellaneous
29 Mar,Foodstuff,3800,Feeding
29 Mar,Foodstuff,2650,Feeding
30 Mar,Data,900,Miscellaneous
30 Mar,?,1000,?
30 Mar,Foodstuff n drinks,3600,Feeding
30 Mar,?,700,?
31 Mar,Data,1000,Miscellaneous
31 Mar,Food,2100,Feeding
31 Mar,EM Lo,43526,Remit
31 Mar,Spag,3500,Feeding
1 Apr,Data,1000,Miscellaneous
1 Apr,Noodles,1700,Feeding
2 Apr,Fried rice,1500,Feeding
2 Apr,Trans,3100,Transport
2 Apr,Food,2000,Feeding
3 Apr,Foodstuff,2500,Feeding
3 Apr,Data,285,Miscellaneous
3 Apr,Data,2000,Miscellaneous
4 Apr,Foodstuff,2200,Feeding
4 Apr,Household stuffs,950,Utility
4 Apr,Foodstuff,1000,Feeding
4 Apr,Google Play,1300,Miscellaneous
5 Apr,Google Play,1580,Miscellaneous
5 Apr,Foodstuff,1000,Feeding
5 Apr,Foodstuff,1400,Feeding
5 Apr,Household stuffs,700,Utility
5 Apr,Data,285,Miscellaneous
5 Apr,Data,1000,Miscellaneous
6 Apr,Foodstuff n drinks,2000,Feeding
7 Apr,Trans,1100,Transport
