Date,Item,Amount,Category,ID,MonthYear
2026-03-27,Food,1000,Feeding,1,March 2026
2026-03-27,Trans,3100,Transport,2,March 2026
2026-03-27,Bread for fam,1500,Feeding,3,March 2026
2026-03-27,Food at fam,3000,Feeding,4,March 2026
2026-03-27,April Electricity,2500,Utility,5,March 2026
2026-03-27,March Housekeeping,1500,Utility,6,March 2026
2026-03-28,CDC,16600,Remit,7,March 2026
2026-03-28,Food at Fam,600,Feeding,8,March 2026
2026-03-28,Google play,500,Miscellaneous,9,March 2026
2026-03-28,Data for Brymo,1663,Miscellaneous,10,March 2026
2026-03-29,Cash,5100,Transport,11,March 2026
2026-03-29,Gas for fam,1000,Miscellaneous,12,March 2026
2026-03-29,Foodstuff,3800,Feeding,13,March 2026
2026-03-29,Foodstuff,2650,Feeding,14,March 2026
2026-03-30,Data,900,Miscellaneous,15,March 2026
2026-03-30,?,1000,?,16,March 2026
2026-03-30,Foodstuff n drinks,3600,Feeding,17,March 2026
2026-03-30,?,700,?,18,March 2026
2026-03-31,Data,1000,Miscellaneous,19,March 2026
2026-03-31,Food,2100,Feeding,20,March 2026
2026-03-31,EM Lo,43526,Remit,21,March 2026
2026-03-31,Spag,3500,Feeding,22,March 2026
2026-04-01,Data,1000,Miscellaneous,23,April 2026
2026-04-01,Noodles,1700,Feeding,24,April 2026
2026-04-02,Fried rice,1500,Feeding,25,April 2026
2026-04-02,Trans,3100,Transport,26,April 2026
2026-04-02,Food,2000,Feeding,27,April 2026
2026-04-03,Foodstuff,2500,Feeding,28,April 2026
2026-04-03,Data,285,Miscellaneous,29,April 2026
2026-04-03,Data,2000,Miscellaneous,30,April 2026
2026-04-04,Foodstuff,2200,Feeding,31,April 2026
2026-04-04,Household stuffs,950,Utility,32,April 2026
2026-04-04,Foodstuff,1000,Feeding,33,April 2026
2026-04-04,Google Play,1300,Miscellaneous,34,April 2026
2026-04-05,Google Play,1580,Miscellaneous,35,April 2026
2026-04-05,Foodstuff,1000,Feeding,36,April 2026
2026-04-05,Foodstuff,1400,Feeding,37,April 2026
2026-04-05,Household stuffs,700,Utility,38,April 2026
2026-04-05,Data,285,Miscellaneous,39,April 2026
2026-04-05,Data,1000,Miscellaneous,40,April 2026
2026-04-06,Foodstuff n drinks,2000,Feeding,41,April 2026
2026-04-07,Trans,1100,Transport,42,April 2026
2026-04-09,Food,5000,Feeding,43,April 2026
,Can,2000,Miscellaneous,44,
,Sugar,100,Feeding,45,
,Pillow,15000,Miscellaneous,46,
,Waste,3000,Utility,47,
,Waste,3000,Utility,48,
,Deborah,5000,Miscellaneous,49,
,Ruler,50000,Miscellaneous,50,
,Ruler,50000,Miscellaneous,51,
,Shaving stick,900,Utility,52,
,juuh,5115,Utility,54,
,pijpij,9598,ik,55,
,pjp3,149864,Utility,57,
2026-04-11,cfygih,79845,Utility,59,April 2026
2026-04-12,Bine,500,Transport,60,April 2026
2026-04-12,Laptop,450000,Utility,61,April 2026
2026-03-04,Smart Tv,320000,Miscellaneous,62,March 2026
2026-04-03,Zealot S67,170000,Miscellaneous,63,April 2026
