Date,Item,Amount,Category
27-March-2026,Food,1000,Food
27-March-2026,Trans,3100,Transport
27-March-2026,Bread for fam,1500,Food
27-March-2026,Food at fam,3000,Food
27-March-2026,April Electricity,2500,Bills
27-March-2026,March Housekeeping,1500,Bills
28-March-2026,CDC,16600,Remit
28-March-2026,Food at Fam,600,Food
28-March-2026,Google play,500,Subscription
28-March-2026,Data for Brymo,1663,Other
29-March-2026,Cash,5100,Transport
29-March-2026,Gas for fam,1000,Other
29-March-2026,Foodstuff,3800,Food
29-March-2026,Foodstuff,2650,Food
30-March-2026,Data,900,Internet
30-March-2026,Random,1000,Other
30-March-2026,Foodstuff n drinks,3600,Food
30-March-2026,Drink,700,Food
31-March-2026,Data,1000,Internet
31-March-2026,Food,2100,Food
31-March-2026,EM Lo,43526,Remit
31-March-2026,Spag,3500,Food
1-April-2026,Data,1000,Internet
1-April-2026,Noodles,1700,Food
2-April-2026,Fried rice,1500,Food
2-April-2026,Trans,3100,Transport
2-April-2026,Food,2000,Food
3-April-2026,Foodstuff,2500,Food
3-April-2026,Data,285,Internet
3-April-2026,Data,2000,Internet
4-April-2026,Foodstuff,2200,Food
4-April-2026,Household stuffs,950,Other
4-April-2026,Foodstuff,1000,Food
4-April-2026,Google Play,1300,Subscription
5-April-2026,Google Play,1580,Subscription
5-April-2026,Foodstuff,1000,Food
5-April-2026,Foodstuff,1400,Food
5-April-2026,Household stuffs,700,Other
5-April-2026,Data,285,Internet
5-April-2026,Data,1000,Internet
6-April-2026,Foodstuff n drinks,2000,Food
7-April-2026,Trans,1100,Transport
